model,vector,stored_mean,stored_population_sd,max_abs_rebuild_error_from_rounded_csv
Qwen_2.5_32B_instruct,bodysens_vector,7.142857142876811e-07,1.0000003760353886,5.103452738919323e-05
Qwen_2.5_32B_instruct,arousal_vector,7.142857142839505e-07,0.9999998147021086,5.096204730559162e-05
Qwen_2.5_32B_instruct,random_vector,-4.7619047619163804e-07,1.0000025797346543,5.047185265105725e-05
Qwen_2.5_32B_instruct,sadness_vector,1.1904761904809873e-06,1.0000003715825556,5.002077850457809e-05
Qwen_2.5_72B_base,s1_pain_vector,4.761904761896514e-07,0.9999985216654607,4.96793392558148e-05
Qwen_2.5_72B_base,s2_pain_vector,7.14285714286978e-07,1.0000001562973517,5.054417553435053e-05
Qwen_2.5_72B_base,fear_vector,-4.285714285713953e-06,1.0000021157742924,5.0182854087976736e-05
Qwen_2.5_72B_base,negemotion_vector,-3.571428571426929e-06,1.0000001786959876,5.021616577094434e-05
Qwen_2.5_72B_base,negworld_vector,1.6666666666630735e-06,1.000000996438591,4.977019726937204e-05
Qwen_2.5_72B_base,bodysens_vector,-9.523809523770801e-07,1.0000007584278303,5.112269493778854e-05
Qwen_2.5_72B_base,arousal_vector,9.523809523801381e-07,1.000000767023062,4.9888953147281256e-05
Qwen_2.5_72B_base,random_vector,2.3809523809418808e-07,0.9999997756070893,4.992230834433009e-05
Qwen_2.5_72B_base,sadness_vector,-2.380952380972326e-07,1.0000006814164062,4.9882150051194785e-05
Qwen_2.5_72B_instruct,s1_pain_vector,9.523809523801542e-07,1.0000018429978481,5.104042700554423e-05
Qwen_2.5_72B_instruct,s2_pain_vector,9.523809523827846e-07,1.0000008363801491,5.069667224066876e-05
Qwen_2.5_72B_instruct,fear_vector,-9.523809523803302e-07,1.0000000923804946,5.100970789762016e-05
Qwen_2.5_72B_instruct,negemotion_vector,1.1904761904772756e-06,0.9999993876776753,5.0336874621415006e-05
Qwen_2.5_72B_instruct,negworld_vector,-1.9047619047627854e-06,1.0000003212362296,5.009091792790299e-05
Qwen_2.5_72B_instruct,bodysens_vector,1.9047619047582824e-06,0.9999990922358691,5.1986038749785024e-05
Qwen_2.5_72B_instruct,arousal_vector,1.6666666666648144e-06,0.99999797977038,5.5737250885368184e-05
Qwen_2.5_72B_instruct,random_vector,1.9047619047593356e-06,0.999999688212423,5.042505748409365e-05
Qwen_2.5_72B_instruct,sadness_vector,2.38095238102063e-07,1.0000006536545198,4.9807838343685074e-05
Qwen_2.5_7B_base,s1_pain_vector,-3.3333333333340978e-06,0.9999992461132079,5.180523648229407e-05
Qwen_2.5_7B_base,s2_pain_vector,4.76190476189736e-07,0.9999986049512944,5.231228898838758e-05
Qwen_2.5_7B_base,fear_vector,2.3809523809295054e-07,1.0000029176742866,5.452272307993056e-05
Qwen_2.5_7B_base,negemotion_vector,-3.0952380952392125e-06,1.000000359602288,5.148026054896393e-05
Qwen_2.5_7B_base,negworld_vector,-2.3809523809620315e-07,0.9999994608926835,5.234064333548005e-05
Qwen_2.5_7B_base,bodysens_vector,-1.666666666663784e-06,0.9999941474695803,5.599421538948768e-05
Qwen_2.5_7B_base,arousal_vector,-2.380952380952222e-06,1.000002633446079,5.657006345183291e-05
Qwen_2.5_7B_base,random_vector,-3.0952380952313122e-06,1.0000017617198484,5.695531025651235e-05
Qwen_2.5_7B_base,numb_vector,1.4285714285712584e-06,1.0000019450208975,5.6455394080501264e-05
Qwen_2.5_7B_base,sadness_vector,1.4285714285717086e-06,0.9999961265629064,5.67307232790526e-05
Qwen_2.5_7B_instruct,s1_pain_vector,4.5102810375396986e-18,0.9999921736122309,5.8517342682140594e-05
Qwen_2.5_7B_instruct,s2_pain_vector,-5.476190476187048e-06,0.9999956583922476,6.162354004368709e-05
Qwen_2.5_7B_instruct,fear_vector,-2.1428571428545563e-06,0.9999998035095896,5.280463749324227e-05
Qwen_2.5_7B_instruct,negemotion_vector,-2.142857142856032e-06,0.999999413604675,5.130321510830871e-05
Qwen_2.5_7B_instruct,negworld_vector,-1.9047619047627316e-06,1.00000129956877,5.175362822629204e-05
Qwen_2.5_7B_instruct,bodysens_vector,-7.380952380950506e-06,0.9999954210694203,6.520206380722371e-05
Qwen_2.5_7B_instruct,arousal_vector,-4.047619047618464e-06,0.9999982402640696,5.349036010626751e-05
Qwen_2.5_7B_instruct,random_vector,-2.142857142859893e-06,1.0000030572192213,6.17901683170885e-05
Qwen_2.5_7B_instruct,numb_vector,-3.8095238095241635e-06,0.9999975476564035,5.274241531749713e-05
Qwen_2.5_7B_instruct,sadness_vector,-6.904761904760261e-06,0.9999998592023427,5.5987136624066625e-05
Qwen_3_14B_base,s1_pain_vector,-3.3333333333315817e-06,1.000004545436495,5.440442764026443e-05
Qwen_3_14B_base,s2_pain_vector,-9.499676177968229e-20,0.9999992661425879,5.05723942878511e-05
Qwen_3_14B_base,fear_vector,-1.6666666666656799e-06,1.0000033836000297,5.085602803256428e-05
Qwen_3_14B_base,negemotion_vector,-2.1428571428554067e-06,0.9999984663417661,5.1698023445290175e-05
Qwen_3_14B_base,negworld_vector,9.523809523780048e-07,1.000003581659799,5.054196208614803e-05
Qwen_3_14B_base,bodysens_vector,-2.380952380970829e-07,1.0000016723914302,5.2765161293821805e-05
Qwen_3_14B_base,arousal_vector,-4.761904761915379e-07,0.9999995438093063,5.16707790104709e-05
Qwen_3_14B_base,random_vector,-2.8571428571444548e-06,1.0000020331605182,5.1798536426561625e-05
Qwen_3_14B_base,numb_vector,-2.1428571428557587e-06,0.999999930938178,5.1219967229565455e-05
Qwen_3_14B_base,sadness_vector,-1.9047619047663747e-06,0.999999574926667,5.197604654338939e-05
Qwen_3_8B_base,s1_pain_vector,4.047619047625293e-06,1.000001107550719,5.0861930867474384e-05
Qwen_3_8B_base,s2_pain_vector,2.1428571428577323e-06,1.0000020829836298,5.264080780897906e-05
Qwen_3_8B_base,fear_vector,3.0952380952364635e-06,1.0000008084829781,5.126795205168122e-05
Qwen_3_8B_base,negemotion_vector,-1.6666666666637112e-06,1.0000018228659973,5.049681473878742e-05
Qwen_3_8B_base,negworld_vector,-4.7619047619260043e-07,1.0000017593792914,4.9776870551077046e-05
Qwen_3_8B_base,bodysens_vector,-1.6666666666644798e-06,1.0000049587839355,5.1185262400554876e-05
Qwen_3_8B_base,arousal_vector,-1.1904761904744703e-06,0.9999974349602874,5.0057952014403995e-05
Qwen_3_8B_base,random_vector,-2.380952380954566e-06,1.000001751067061,5.079929310169984e-05
Qwen_3_8B_base,numb_vector,2.3809523809496405e-07,1.0000016362248234,5.006276833176282e-05
Qwen_3_8B_base,sadness_vector,-2.3809523809337544e-07,0.9999994446307698,5.129782622617651e-05
